Time,Displacement,Force
(s),(mm),(N)
0,0.0029,0.8748
1,0.0346,8.0536
2,0.0679,15.6375
3,0.1012,23.1087
4,0.1345,30.2852
5,0.168,37.1237
6,0.2012,43.6981
7,0.2346,50.3925
8,0.2679,56.7938
9,0.3013,60.8759
10,0.3347,60.6059
11,0.368,60.4882
12,0.4013,60.691
13,0.4347,60.7764
14,0.468,61.1017
15,0.5014,61.3009
16,0.5345,61.379
17,0.568,61.4168
18,0.6014,61.8399
19,0.6347,67.7144
20,0.6681,74.365
21,0.7013,80.7986
22,0.7346,87.1444
23,0.768,93.6618
24,0.8013,100.0047
25,0.8345,106.1254
26,0.8679,112.1122
27,0.9011,118.1417
28,0.9346,123.8572
29,0.968,129.7277
30,1.0012,135.1626
31,1.0345,140.61
32,1.0679,145.7399
33,1.1012,129.2558
34,1.1347,133.7112
35,1.1679,99.0376
35.777,1.1939,14.6902
