Time,Displacement,Force
(s),(mm),(N)
0,0.0028,0.5987
1,0.0348,7.8772
2,0.0681,15.3028
3,0.1014,22.3692
4,0.1347,29.3421
5,0.1681,36.5255
6,0.2015,43.3109
7,0.2347,49.5131
8,0.2681,55.8891
9,0.3016,58.1526
10,0.3348,58.0185
11,0.3683,58.074
12,0.4015,58.1782
13,0.4348,58.1998
14,0.4682,58.0967
15,0.5016,58.9949
16,0.5348,59.0396
17,0.5683,58.8163
18,0.6015,59.0988
19,0.6349,64.2185
20,0.6683,70.8753
21,0.7015,77.6099
22,0.7348,84.2528
23,0.7681,90.2911
24,0.8014,96.6703
25,0.8348,102.8758
26,0.868,108.5293
27,0.9014,114.4427
28,0.9348,120.2144
29,0.9681,125.609
30,1.0015,131.026
31,1.0346,136.2265
32,1.068,126.6842
33,1.1015,131.1618
34,1.1347,135.4799
35,1.1682,139.4803
36,1.2015,143.395
37,1.2347,147.272
37.722,1.259,13.7248
