Sample	Time	Encoder 1 Pos	Encoder 2 Pos	Control Effort
1	0.001	-11	0	0
2	0.002	-11	0	0
3	0.003	-11	0	0
4	0.004	-11	0	0
5	0.005	-11	0	0
6	0.006	-11	0	0
7	0.007	-11	0	0
8	0.009	-11	0	0
9	0.01	-11	0	0
10	0.011	-11	0	0
11	0.012	-11	0	0
12	0.013	-11	0	0
13	0.014	-11	0	0
14	0.015	-11	0	0
15	0.016	-11	0	0
16	0.018	-11	0	0
17	0.019	-11	0	0
18	0.02	-11	0	0
19	0.021	-11	0	0
20	0.022	-11	0	0
21	0.023	-11	0	0
22	0.024	-11	0	0
23	0.025	-11	0	0
24	0.027	-11	0	0
25	0.028	-11	0	0
26	0.029	-11	0	0
27	0.03	-11	0	0
28	0.031	-11	0	0
29	0.032	-11	0	0
30	0.033	-11	0	0
31	0.034	-11	0	0
32	0.036	-11	0	0
33	0.037	-11	0	0
34	0.038	-11	0	0
35	0.039	-11	0	0
36	0.04	-11	0	0
37	0.041	-11	0	0
38	0.042	-11	0	0
39	0.044	-11	0	0
40	0.045	-11	0	0
41	0.046	-11	0	0
42	0.047	-11	0	0
43	0.048	-11	0	0
44	0.049	-11	0	0
45	0.05	-11	0	0
46	0.051	-11	0	0
47	0.053	-11	0	0
48	0.054	-11	0	0
49	0.055	-11	0	0
50	0.056	-11	0	0
51	0.057	-11	0	0
52	0.058	-11	0	0
53	0.059	-11	0	0
54	0.06	-11	0	0
55	0.062	-11	0	0
56	0.063	-11	0	0
57	0.064	-11	0	0
58	0.065	-11	0	0
59	0.066	-11	0	0
60	0.067	-11	0	0
61	0.068	-11	0	0
62	0.069	-11	0	0
63	0.071	-11	0	0
64	0.072	-12	0	0
65	0.073	-12	0	0
66	0.074	-12	0	0
67	0.075	-12	0	0
68	0.076	-12	0	0
69	0.077	-12	0	0
70	0.078	-12	0	0
71	0.08	-12	0	0
72	0.081	-12	0	0
73	0.082	-12	0	0
74	0.083	-12	0	0
75	0.084	-12	0	0
76	0.085	-12	0	0
77	0.086	-12	0	0
78	0.088	-12	0	0
79	0.089	-12	0	0
80	0.09	-12	0	0
81	0.091	-12	0	0
82	0.092	-12	0	0
83	0.093	-12	0	0
84	0.094	-12	0	0
85	0.095	-12	0	0
86	0.097	-12	0	0
87	0.098	-12	0	0
88	0.099	-12	0	0
89	0.1	-12	0	0
90	0.101	-12	0	0
91	0.102	-12	0	0
92	0.103	-12	0	0
93	0.104	-12	0	0
94	0.106	-12	0	0
95	0.107	-12	0	0
96	0.108	-12	0	0
97	0.109	-12	0	0
98	0.11	-12	0	0
99	0.111	-12	0	0
100	0.112	-12	0	0
101	0.113	-12	0	0
102	0.115	-12	0	0
103	0.116	-12	0	0
104	0.117	-12	0	0
105	0.118	-12	0	0
106	0.119	-12	0	0
107	0.12	-12	0	0
108	0.121	-12	0	0
109	0.122	-12	0	0
110	0.124	-12	0	0
111	0.125	-12	0	0
112	0.126	-12	0	0
113	0.127	-12	0	0
114	0.128	-12	0	0
115	0.129	-12	0	0
116	0.13	-12	0	0
117	0.132	-12	0	0
118	0.133	-12	0	0
119	0.134	-12	0	0
120	0.135	-12	0	0
121	0.136	-12	0	0
122	0.137	-12	0	0
123	0.138	-12	0	0
124	0.139	-12	0	0
125	0.141	-12	0	0
126	0.142	-12	0	0
127	0.143	-12	0	0
128	0.144	-12	0	0
129	0.145	-12	0	0
130	0.146	-12	0	0
131	0.147	-12	0	0
132	0.148	-12	0	0
133	0.15	-12	0	0
134	0.151	-12	0	0
135	0.152	-12	0	0
136	0.153	-12	0	0
