Sample	Time	Encoder 1 Pos	Encoder 2 Pos	Control Effort
1	0.001	1	2	0
2	0.002	1	2	0
3	0.003	1	3	0
4	0.004	1	3	0
5	0.005	1	3	0
6	0.006	1	3	0
7	0.007	1	3	0
8	0.009	1	3	0
9	0.01	1	3	0
10	0.011	1	4	0
11	0.012	1	4	0
12	0.013	1	4	0
13	0.014	1	4	0
14	0.015	1	4	0
15	0.016	1	4	0
16	0.018	1	5	0
17	0.019	1	5	0
18	0.02	1	5	0
19	0.021	1	5	0
20	0.022	1	5	0
21	0.023	1	5	0
22	0.024	1	6	0
23	0.025	1	6	0
24	0.027	1	6	0
25	0.028	1	6	0
26	0.029	1	6	0
27	0.03	1	6	0
28	0.031	1	6	0
29	0.032	1	7	0
30	0.033	1	7	0
31	0.034	1	7	0
32	0.036	1	7	0
33	0.037	1	7	0
34	0.038	1	7	0
35	0.039	1	7	0
36	0.04	1	7	0
37	0.041	1	8	0
38	0.042	1	8	0
39	0.044	1	8	0
40	0.045	1	8	0
41	0.046	1	8	0
42	0.047	1	8	0
43	0.048	1	8	0
44	0.049	1	8	0
45	0.05	1	8	0
46	0.051	1	8	0
47	0.053	1	8	0
48	0.054	1	8	0
49	0.055	1	8	0
50	0.056	1	8	0
51	0.057	1	8	0
52	0.058	1	8	0
53	0.059	1	8	0
54	0.06	1	8	0
55	0.062	1	8	0
56	0.063	1	8	0
57	0.064	1	8	0
58	0.065	1	8	0
59	0.066	1	8	0
60	0.067	1	8	0
61	0.068	1	8	0
62	0.069	1	8	0
63	0.071	1	8	0
64	0.072	1	8	0
65	0.073	1	8	0
66	0.074	1	8	0
67	0.075	1	8	0
68	0.076	1	8	0
69	0.077	1	8	0
70	0.078	1	8	0
71	0.08	1	8	0
72	0.081	1	8	0
73	0.082	1	8	0
74	0.083	1	8	0
75	0.084	1	8	0
76	0.085	1	8	0
77	0.086	1	8	0
78	0.088	1	8	0
79	0.089	1	8	0
80	0.09	1	8	0
81	0.091	1	8	0
82	0.092	1	8	0
83	0.093	1	8	0
84	0.094	1	8	0
85	0.095	1	8	0
86	0.097	1	8	0
87	0.098	1	8	0
88	0.099	1	8	0
89	0.1	1	8	0
90	0.101	1	8	0
91	0.102	1	8	0
92	0.103	1	8	0
93	0.104	1	8	0
94	0.106	1	8	0
95	0.107	1	8	0
96	0.108	1	8	0
97	0.109	1	8	0
98	0.11	1	8	0
99	0.111	1	8	0
100	0.112	1	8	0
101	0.113	1	8	0
102	0.115	1	8	0
103	0.116	1	8	0
104	0.117	1	8	0
105	0.118	1	8	0
106	0.119	1	8	0
107	0.12	1	8	0
108	0.121	1	8	0
109	0.122	1	8	0
110	0.124	1	8	0
111	0.125	1	8	0
112	0.126	1	8	0
113	0.127	1	8	0
114	0.128	1	8	0
115	0.129	1	8	0
116	0.13	1	8	0
117	0.131	1	8	0
118	0.133	1	8	0
119	0.134	1	8	0
120	0.135	1	8	0
121	0.136	1	8	0
122	0.137	1	8	0
123	0.138	1	8	0
124	0.139	1	8	0
125	0.141	1	8	0
126	0.142	1	8	0
127	0.143	1	8	0
128	0.144	1	8	0
129	0.145	1	8	0
130	0.146	1	8	0
131	0.147	1	8	0
132	0.148	1	8	0
133	0.15	1	8	0
134	0.151	1	8	0
135	0.152	1	8	0
136	0.153	1	8	0
137	0.154	1	8	0
138	0.155	1	8	0
139	0.156	1	8	0
140	0.157	1	8	0
141	0.159	1	8	0
142	0.16	1	8	0
143	0.161	1	7	0
144	0.162	1	7	0
145	0.163	1	7	0
146	0.164	1	7	0
147	0.165	1	7	0
148	0.166	1	7	0
149	0.168	1	7	0
150	0.169	1	7	0
151	0.17	1	7	0
152	0.171	1	7	0
153	0.172	1	7	0
154	0.173	1	7	0
155	0.174	1	7	0
156	0.175	1	7	0
157	0.177	1	7	0
158	0.178	1	7	0
159	0.179	1	7	0
160	0.18	1	7	0
161	0.181	1	7	0
162	0.182	1	7	0
163	0.183	1	7	0
164	0.185	1	7	0
165	0.186	1	7	0
166	0.187	1	7	0
167	0.188	0	7	0
168	0.189	0	7	0
169	0.19	0	7	0
170	0.191	0	7	0
171	0.192	0	7	0
172	0.194	0	7	0
173	0.195	0	7	0
174	0.196	0	7	0
175	0.197	0	7	0
176	0.198	0	7	0
177	0.199	0	7	0
178	0.2	0	7	0
179	0.201	0	7	0
180	0.203	0	7	0
181	0.204	0	7	0
182	0.205	0	7	0
183	0.206	0	7	0
184	0.207	0	7	0
185	0.208	0	7	0
186	0.209	0	7	0
187	0.21	0	7	0
188	0.212	0	7	0
189	0.213	0	7	0
190	0.214	0	7	0
191	0.215	0	7	0
192	0.216	0	7	0
193	0.217	0	7	0
194	0.218	0	7	0
195	0.219	0	7	0
196	0.221	0	7	0
197	0.222	0	7	0
198	0.223	0	7	0
199	0.224	0	7	0
200	0.225	0	7	0
201	0.226	0	7	0
202	0.227	0	7	0
203	0.229	0	7	0
204	0.23	0	7	0
205	0.231	0	7	0
206	0.232	0	7	0
207	0.233	0	7	0
208	0.234	0	7	0
209	0.235	0	7	0
210	0.236	0	7	0
211	0.238	0	7	0
212	0.239	0	7	0
213	0.24	0	7	0
214	0.241	0	7	0
215	0.242	0	7	0
216	0.243	0	7	0
217	0.244	0	7	0
218	0.245	0	7	0
219	0.247	0	7	0
220	0.248	0	7	0
221	0.249	0	7	0
222	0.25	0	7	0
223	0.251	0	7	0
224	0.252	0	7	0
225	0.253	0	7	0
226	0.254	0	7	0
227	0.256	0	7	0
228	0.257	0	7	0
229	0.258	0	7	0
230	0.259	0	7	0
231	0.26	0	7	0
232	0.261	0	7	0
233	0.262	0	7	0
234	0.263	0	7	0
235	0.265	0	7	0
236	0.266	0	7	0
237	0.267	0	7	0
238	0.268	0	7	0
239	0.269	0	7	0
240	0.27	0	7	0
