Sample	Time	Encoder 1 Pos	Encoder 2 Pos	Control Effort
1	0.001	0	-7	0
2	0.002	0	-7	0
3	0.003	0	-7	0
4	0.004	1	-7	0
5	0.005	1	-7	0
6	0.006	1	-7	0
7	0.007	1	-7	0
8	0.009	1	-7	0
9	0.01	1	-7	0
10	0.011	1	-7	0
11	0.012	1	-7	0
12	0.013	1	-8	0
13	0.014	1	-8	0
14	0.015	1	-8	0
15	0.016	2	-8	0
16	0.018	2	-8	0
17	0.019	2	-8	0
18	0.02	2	-8	0
19	0.021	2	-8	0
20	0.022	2	-8	0
21	0.023	2	-8	0
22	0.024	2	-8	0
23	0.025	2	-9	0
24	0.027	2	-9	0
25	0.028	2	-9	0
26	0.029	2	-9	0
27	0.03	2	-9	0
28	0.031	2	-9	0
29	0.032	2	-9	0
30	0.033	2	-9	0
31	0.034	2	-9	0
32	0.036	2	-9	0
33	0.037	2	-9	0
34	0.038	2	-9	0
35	0.039	2	-9	0
36	0.04	2	-10	0
37	0.041	2	-10	0
38	0.042	2	-10	0
39	0.043	2	-10	0
40	0.045	2	-10	0
41	0.046	2	-10	0
42	0.047	2	-10	0
43	0.048	2	-10	0
44	0.049	2	-10	0
45	0.05	2	-10	0
46	0.051	2	-10	0
47	0.052	2	-10	0
48	0.054	2	-10	0
49	0.055	2	-10	0
50	0.056	2	-10	0
51	0.057	2	-10	0
52	0.058	2	-10	0
53	0.059	2	-10	0
54	0.06	2	-10	0
55	0.061	2	-10	0
56	0.063	2	-10	0
57	0.064	2	-10	0
58	0.065	2	-10	0
59	0.066	2	-10	0
60	0.067	2	-10	0
61	0.068	2	-10	0
62	0.069	2	-10	0
63	0.071	2	-11	0
64	0.072	2	-11	0
65	0.073	2	-11	0
66	0.074	2	-11	0
67	0.075	2	-11	0
68	0.076	2	-11	0
69	0.077	2	-11	0
70	0.078	2	-11	0
71	0.08	2	-11	0
72	0.081	2	-11	0
73	0.082	2	-11	0
74	0.083	2	-11	0
75	0.084	2	-11	0
76	0.085	2	-11	0
77	0.086	2	-11	0
78	0.087	2	-11	0
79	0.089	2	-11	0
80	0.09	2	-11	0
81	0.091	2	-11	0
82	0.092	2	-11	0
83	0.093	2	-11	0
84	0.094	2	-11	0
85	0.095	2	-11	0
86	0.096	2	-11	0
87	0.098	2	-11	0
88	0.099	2	-11	0
89	0.1	2	-11	0
90	0.101	2	-11	0
91	0.102	2	-11	0
92	0.103	2	-11	0
93	0.104	2	-11	0
94	0.105	2	-12	0
95	0.107	2	-12	0
96	0.108	2	-12	0
97	0.109	2	-12	0
98	0.11	2	-12	0
99	0.111	2	-12	0
100	0.112	2	-12	0
101	0.113	2	-12	0
102	0.114	2	-12	0
103	0.116	2	-12	0
104	0.117	2	-12	0
105	0.118	2	-12	0
106	0.119	2	-12	0
107	0.12	2	-12	0
108	0.121	2	-12	0
109	0.122	2	-12	0
110	0.123	2	-12	0
111	0.125	2	-12	0
112	0.126	2	-12	0
113	0.127	2	-12	0
114	0.128	2	-12	0
115	0.129	2	-12	0
116	0.13	2	-12	0
117	0.131	2	-12	0
118	0.132	2	-12	0
119	0.134	2	-12	0
120	0.135	2	-12	0
121	0.136	2	-12	0
122	0.137	2	-12	0
123	0.138	2	-12	0
124	0.139	2	-12	0
125	0.14	2	-12	0
126	0.142	2	-12	0
127	0.143	2	-12	0
128	0.144	2	-12	0
129	0.145	2	-12	0
130	0.146	2	-12	0
131	0.147	2	-12	0
132	0.148	2	-12	0
133	0.149	2	-12	0
134	0.151	2	-12	0
135	0.152	2	-12	0
136	0.153	2	-12	0
137	0.154	2	-13	0
138	0.155	2	-13	0
139	0.156	2	-13	0
140	0.157	2	-13	0
141	0.158	2	-13	0
142	0.16	2	-13	0
143	0.161	2	-13	0
144	0.162	2	-13	0
145	0.163	2	-13	0
146	0.164	2	-13	0
147	0.165	2	-13	0
148	0.166	2	-13	0
149	0.167	2	-13	0
150	0.169	2	-13	0
151	0.17	2	-14	0
152	0.171	2	-14	0
153	0.172	2	-14	0
154	0.173	2	-14	0
155	0.174	2	-14	0
156	0.175	2	-14	0
157	0.176	2	-14	0
158	0.178	2	-14	0
159	0.179	2	-14	0
160	0.18	2	-14	0
161	0.181	2	-14	0
162	0.182	2	-15	0
163	0.183	2	-15	0
164	0.184	2	-15	0
165	0.185	2	-15	0
166	0.187	2	-15	0
167	0.188	2	-15	0
168	0.189	2	-15	0
169	0.19	2	-15	0
170	0.191	2	-15	0
171	0.192	2	-15	0
172	0.193	2	-15	0
173	0.194	2	-15	0
174	0.196	2	-15	0
175	0.197	2	-15	0
176	0.198	2	-15	0
177	0.199	2	-15	0
178	0.2	2	-15	0
179	0.201	2	-15	0
180	0.202	2	-15	0
181	0.203	2	-15	0
182	0.205	2	-15	0
183	0.206	2	-15	0
184	0.207	2	-15	0
185	0.208	2	-15	0
186	0.209	2	-15	0
187	0.21	2	-15	0
188	0.211	2	-15	0
189	0.213	2	-15	0
190	0.214	2	-15	0
191	0.215	2	-15	0
192	0.216	2	-15	0
193	0.217	2	-15	0
194	0.218	2	-15	0
195	0.219	2	-15	0
196	0.22	2	-15	0
197	0.222	2	-15	0
198	0.223	2	-15	0
199	0.224	2	-15	0
200	0.225	2	-15	0
201	0.226	2	-15	0
202	0.227	2	-15	0
203	0.228	2	-15	0
204	0.229	2	-15	0
205	0.231	2	-15	0
206	0.232	2	-15	0
207	0.233	2	-15	0
208	0.234	2	-15	0
209	0.235	2	-15	0
210	0.236	2	-15	0
211	0.237	2	-15	0
212	0.238	2	-15	0
213	0.24	2	-15	0
214	0.241	2	-15	0
215	0.242	2	-15	0
216	0.243	2	-15	0
217	0.244	2	-15	0
218	0.245	2	-15	0
219	0.246	2	-15	0
220	0.247	2	-16	0
