Sample	Time	Encoder 1 Pos	Encoder 2 Pos	Control Effort
1	0.001	0	0	0
2	0.002	0	0	0
3	0.003	0	0	0
4	0.004	0	0	0
5	0.005	0	0	0
6	0.006	0	0	0
7	0.007	0	0	0
8	0.009	0	0	0
9	0.01	0	0	0
10	0.011	0	0	0
11	0.012	0	0	0
12	0.013	0	-1	0
13	0.014	0	-1	0
14	0.015	0	-1	0
15	0.016	0	-1	0
16	0.018	0	-1	0
17	0.019	0	-1	0
18	0.02	0	-1	0
19	0.021	0	-1	0
20	0.022	0	-2	0
21	0.023	0	-2	0
22	0.024	0	-2	0
23	0.025	0	-2	0
24	0.027	0	-2	0
25	0.028	0	-2	0
26	0.029	0	-2	0
27	0.03	0	-3	0
28	0.031	0	-3	0
29	0.032	0	-3	0
30	0.033	0	-3	0
31	0.034	0	-3	0
32	0.036	0	-4	0
33	0.037	0	-4	0
34	0.038	0	-4	0
35	0.039	0	-4	0
36	0.04	0	-4	0
37	0.041	0	-4	0
38	0.042	0	-5	0
39	0.044	0	-5	0
40	0.045	0	-5	0
41	0.046	0	-5	0
42	0.047	0	-5	0
43	0.048	0	-6	0
44	0.049	0	-6	0
45	0.05	0	-6	0
46	0.051	0	-6	0
47	0.053	0	-6	0
48	0.054	0	-7	0
49	0.055	-1	-7	0
50	0.056	-1	-7	0
51	0.057	-1	-7	0
52	0.058	-1	-7	0
53	0.059	-1	-8	0
54	0.06	-1	-8	0
55	0.062	-1	-8	0
56	0.063	-1	-8	0
57	0.064	-1	-8	0
58	0.065	-1	-9	0
59	0.066	-1	-9	0
60	0.067	-1	-9	0
61	0.068	-1	-9	0
62	0.069	-1	-9	0
63	0.071	-1	-9	0
64	0.072	-1	-10	0
65	0.073	-1	-10	0
66	0.074	-1	-10	0
67	0.075	-1	-10	0
68	0.076	-1	-10	0
69	0.077	-1	-11	0
70	0.078	-1	-11	0
71	0.08	-1	-11	0
72	0.081	-1	-11	0
73	0.082	-1	-11	0
74	0.083	-1	-11	0
75	0.084	-1	-12	0
76	0.085	-1	-12	0
77	0.086	-1	-12	0
78	0.088	-1	-12	0
79	0.089	-1	-12	0
80	0.09	-1	-12	0
81	0.091	-1	-12	0
82	0.092	-1	-13	0
83	0.093	-1	-13	0
84	0.094	-1	-13	0
85	0.095	-1	-13	0
86	0.097	-1	-13	0
87	0.098	-1	-13	0
88	0.099	-1	-13	0
89	0.1	-1	-13	0
90	0.101	-1	-13	0
91	0.102	-1	-13	0
92	0.103	-1	-13	0
93	0.104	-1	-13	0
94	0.106	-1	-14	0
95	0.107	-1	-14	0
96	0.108	-1	-14	0
97	0.109	-1	-14	0
98	0.11	-1	-14	0
99	0.111	-1	-14	0
100	0.112	-1	-14	0
101	0.113	-1	-14	0
102	0.115	-1	-14	0
103	0.116	-1	-14	0
104	0.117	-1	-14	0
105	0.118	-1	-14	0
106	0.119	-1	-14	0
107	0.12	-1	-14	0
108	0.121	-1	-14	0
109	0.122	-1	-14	0
110	0.124	-1	-14	0
111	0.125	-1	-14	0
112	0.126	-1	-14	0
113	0.127	-1	-14	0
114	0.128	-1	-14	0
115	0.129	-1	-14	0
116	0.13	-1	-14	0
117	0.132	-1	-14	0
118	0.133	-1	-14	0
119	0.134	-1	-14	0
120	0.135	-1	-14	0
121	0.136	-1	-14	0
122	0.137	-1	-14	0
123	0.138	-1	-14	0
124	0.139	-1	-14	0
125	0.141	-1	-14	0
126	0.142	-1	-14	0
127	0.143	-1	-14	0
128	0.144	-1	-14	0
129	0.145	-2	-14	0
130	0.146	-2	-14	0
131	0.147	-2	-14	0
132	0.148	-2	-14	0
133	0.15	-2	-14	0
134	0.151	-2	-14	0
135	0.152	-2	-14	0
136	0.153	-2	-14	0
137	0.154	-2	-14	0
138	0.155	-2	-14	0
139	0.156	-2	-14	0
140	0.157	-2	-14	0
141	0.159	-2	-14	0
142	0.16	-2	-14	0
143	0.161	-2	-14	0
144	0.162	-2	-14	0
145	0.163	-2	-14	0
146	0.164	-2	-14	0
147	0.165	-2	-14	0
148	0.166	-2	-14	0
149	0.168	-2	-14	0
150	0.169	-2	-14	0
151	0.17	-3	-14	0
152	0.171	-3	-14	0
153	0.172	-3	-14	0
154	0.173	-3	-14	0
155	0.174	-3	-14	0
156	0.176	-3	-14	0
157	0.177	-3	-14	0
158	0.178	-3	-14	0
159	0.179	-3	-14	0
160	0.18	-3	-14	0
161	0.181	-3	-14	0
162	0.182	-3	-14	0
163	0.183	-3	-14	0
164	0.185	-3	-14	0
165	0.186	-3	-14	0
166	0.187	-3	-14	0
167	0.188	-3	-14	0
168	0.189	-3	-14	0
169	0.19	-3	-14	0
170	0.191	-3	-14	0
171	0.192	-3	-14	0
172	0.194	-3	-14	0
173	0.195	-3	-14	0
174	0.196	-3	-14	0
175	0.197	-3	-14	0
176	0.198	-3	-14	0
177	0.199	-3	-14	0
178	0.2	-3	-14	0
179	0.201	-3	-14	0
180	0.203	-3	-14	0
181	0.204	-3	-14	0
182	0.205	-3	-14	0
183	0.206	-3	-14	0
184	0.207	-3	-14	0
185	0.208	-3	-14	0
186	0.209	-4	-14	0
187	0.21	-4	-14	0
188	0.212	-4	-14	0
189	0.213	-4	-14	0
190	0.214	-4	-14	0
191	0.215	-4	-14	0
192	0.216	-4	-14	0
193	0.217	-4	-14	0
194	0.218	-4	-14	0
195	0.22	-4	-14	0
196	0.221	-4	-14	0
197	0.222	-4	-14	0
198	0.223	-4	-14	0
199	0.224	-4	-14	0
200	0.225	-4	-14	0
201	0.226	-4	-14	0
202	0.227	-4	-14	0
203	0.229	-4	-14	0
204	0.23	-4	-14	0
205	0.231	-4	-14	0
206	0.232	-4	-14	0
207	0.233	-4	-14	0
208	0.234	-4	-14	0
209	0.235	-4	-14	0
210	0.236	-4	-14	0
211	0.238	-4	-14	0
212	0.239	-4	-14	0
213	0.24	-4	-14	0
214	0.241	-4	-14	0
215	0.242	-4	-14	0
216	0.243	-4	-14	0
217	0.244	-4	-14	0
218	0.245	-4	-14	0
219	0.247	-4	-14	0
220	0.248	-4	-14	0
221	0.249	-4	-14	0
222	0.25	-4	-14	0
223	0.251	-4	-14	0
224	0.252	-4	-14	0
225	0.253	-4	-14	0
226	0.255	-4	-14	0
227	0.256	-4	-14	0
228	0.257	-4	-14	0
229	0.258	-4	-14	0
230	0.259	-4	-14	0
231	0.26	-4	-14	0
232	0.261	-4	-14	0
233	0.262	-4	-14	0
234	0.264	-4	-14	0
235	0.265	-4	-14	0
236	0.266	-4	-14	0
237	0.267	-4	-14	0
238	0.268	-4	-14	0
239	0.269	-4	-14	0
240	0.27	-4	-14	0
241	0.271	-4	-14	0
242	0.273	-4	-14	0
243	0.274	-4	-14	0
244	0.275	-4	-14	0
245	0.276	-4	-14	0
246	0.277	-4	-14	0
247	0.278	-4	-14	0
248	0.279	-4	-14	0
249	0.28	-4	-14	0
250	0.282	-4	-14	0
251	0.283	-4	-14	0
252	0.284	-4	-14	0
253	0.285	-4	-14	0
254	0.286	-4	-14	0
255	0.287	-4	-14	0
256	0.288	-4	-14	0
257	0.289	-4	-14	0
258	0.291	-4	-14	0
259	0.292	-4	-14	0
260	0.293	-4	-14	0
261	0.294	-4	-14	0
262	0.295	-4	-14	0
263	0.296	-4	-14	0
264	0.297	-4	-14	0
265	0.299	-4	-14	0
266	0.3	-4	-14	0
267	0.301	-4	-14	0
268	0.302	-4	-14	0
269	0.303	-4	-14	0
270	0.304	-4	-14	0
271	0.305	-4	-14	0
272	0.306	-4	-14	0
273	0.308	-4	-14	0
274	0.309	-4	-14	0
275	0.31	-4	-14	0
276	0.311	-4	-14	0
277	0.312	-4	-14	0
278	0.313	-4	-14	0
279	0.314	-4	-14	0
280	0.315	-4	-14	0
281	0.317	-4	-14	0
282	0.318	-4	-14	0
283	0.319	-4	-14	0
284	0.32	-4	-14	0
285	0.321	-4	-14	0
286	0.322	-4	-14	0
287	0.323	-4	-14	0
288	0.324	-4	-14	0
289	0.326	-4	-14	0
290	0.327	-4	-14	0
291	0.328	-4	-14	0
