Sample	Time	Encoder 1 Pos	Encoder 2 Pos	Control Effort
1	0.001	-6	-232	0
2	0.002	-6	-232	0
3	0.003	-6	-232	0
4	0.004	-6	-232	0
5	0.005	-6	-233	0
6	0.006	-6	-233	0
7	0.007	-7	-233	0
8	0.009	-7	-233	0
9	0.01	-7	-234	0
10	0.011	-7	-234	0
11	0.012	-7	-234	0
12	0.013	-7	-235	0
13	0.014	-7	-235	0
14	0.015	-7	-235	0
15	0.016	-7	-236	0
16	0.018	-7	-236	0
17	0.019	-7	-236	0
18	0.02	-8	-236	0
19	0.021	-8	-237	0
20	0.022	-8	-237	0
21	0.023	-8	-237	0
22	0.024	-8	-238	0
23	0.025	-8	-238	0
24	0.027	-8	-238	0
25	0.028	-8	-239	0
26	0.029	-8	-239	0
27	0.03	-8	-239	0
28	0.031	-8	-240	0
29	0.032	-8	-240	0
30	0.033	-8	-240	0
31	0.034	-8	-241	0
32	0.036	-8	-241	0
33	0.037	-8	-241	0
34	0.038	-8	-242	0
35	0.039	-8	-242	0
36	0.04	-8	-242	0
37	0.041	-8	-242	0
38	0.042	-8	-243	0
39	0.044	-8	-243	0
40	0.045	-8	-243	0
41	0.046	-8	-244	0
42	0.047	-8	-244	0
43	0.048	-8	-244	0
44	0.049	-8	-244	0
45	0.05	-8	-245	0
46	0.051	-8	-245	0
47	0.053	-8	-245	0
48	0.054	-8	-245	0
49	0.055	-8	-246	0
50	0.056	-8	-246	0
51	0.057	-8	-246	0
52	0.058	-8	-246	0
53	0.059	-8	-247	0
54	0.06	-8	-247	0
55	0.062	-8	-247	0
56	0.063	-8	-248	0
57	0.064	-8	-248	0
58	0.065	-8	-248	0
59	0.066	-8	-248	0
60	0.067	-8	-249	0
61	0.068	-8	-249	0
62	0.069	-8	-249	0
63	0.071	-8	-249	0
64	0.072	-8	-250	0
65	0.073	-8	-250	0
66	0.074	-8	-250	0
67	0.075	-8	-250	0
68	0.076	-8	-251	0
69	0.077	-8	-251	0
70	0.078	-8	-251	0
71	0.08	-8	-251	0
72	0.081	-8	-251	0
73	0.082	-8	-251	0
74	0.083	-8	-252	0
75	0.084	-8	-252	0
76	0.085	-8	-252	0
77	0.086	-8	-252	0
78	0.088	-8	-252	0
79	0.089	-8	-252	0
80	0.09	-8	-252	0
81	0.091	-8	-252	0
82	0.092	-8	-252	0
83	0.093	-8	-252	0
84	0.094	-8	-252	0
85	0.095	-8	-252	0
86	0.097	-8	-252	0
87	0.098	-8	-252	0
88	0.099	-8	-252	0
89	0.1	-8	-252	0
90	0.101	-8	-252	0
91	0.102	-8	-252	0
92	0.103	-8	-252	0
93	0.104	-9	-252	0
94	0.106	-9	-252	0
95	0.107	-9	-252	0
96	0.108	-9	-252	0
97	0.109	-9	-252	0
98	0.11	-9	-252	0
99	0.111	-9	-252	0
100	0.112	-9	-252	0
101	0.113	-9	-252	0
102	0.115	-9	-252	0
103	0.116	-9	-252	0
104	0.117	-9	-252	0
105	0.118	-9	-252	0
106	0.119	-9	-252	0
107	0.12	-9	-252	0
108	0.121	-9	-253	0
109	0.122	-9	-253	0
110	0.124	-10	-253	0
111	0.125	-10	-253	0
112	0.126	-10	-253	0
113	0.127	-10	-253	0
114	0.128	-10	-253	0
115	0.129	-10	-253	0
116	0.13	-10	-253	0
117	0.132	-10	-253	0
118	0.133	-10	-253	0
119	0.134	-10	-253	0
120	0.135	-10	-253	0
121	0.136	-10	-253	0
122	0.137	-10	-254	0
123	0.138	-10	-254	0
124	0.139	-10	-254	0
125	0.141	-10	-254	0
126	0.142	-10	-254	0
127	0.143	-10	-254	0
128	0.144	-10	-254	0
129	0.145	-10	-254	0
130	0.146	-10	-255	0
131	0.147	-10	-255	0
132	0.148	-10	-255	0
133	0.15	-10	-255	0
134	0.151	-10	-255	0
135	0.152	-10	-255	0
136	0.153	-10	-256	0
137	0.154	-10	-256	0
138	0.155	-10	-256	0
139	0.156	-10	-256	0
140	0.157	-10	-256	0
141	0.159	-10	-257	0
142	0.16	-10	-257	0
143	0.161	-10	-257	0
144	0.162	-11	-257	0
145	0.163	-11	-257	0
146	0.164	-11	-257	0
147	0.165	-11	-258	0
148	0.167	-11	-258	0
149	0.168	-11	-258	0
150	0.169	-11	-258	0
151	0.17	-11	-258	0
152	0.171	-11	-258	0
153	0.172	-11	-258	0
154	0.173	-11	-258	0
155	0.174	-11	-258	0
156	0.176	-11	-258	0
157	0.177	-11	-258	0
158	0.178	-11	-258	0
159	0.179	-11	-258	0
160	0.18	-11	-258	0
161	0.181	-11	-259	0
162	0.182	-11	-259	0
163	0.183	-11	-259	0
164	0.185	-11	-259	0
165	0.186	-11	-259	0
166	0.187	-11	-259	0
167	0.188	-11	-259	0
168	0.189	-11	-259	0
169	0.19	-11	-259	0
170	0.191	-11	-259	0
171	0.192	-11	-259	0
172	0.194	-11	-259	0
173	0.195	-11	-259	0
174	0.196	-11	-259	0
175	0.197	-11	-259	0
176	0.198	-11	-259	0
177	0.199	-11	-259	0
178	0.2	-11	-259	0
179	0.201	-11	-259	0
180	0.203	-11	-259	0
181	0.204	-11	-259	0
182	0.205	-11	-259	0
183	0.206	-11	-259	0
184	0.207	-11	-259	0
185	0.208	-11	-259	0
186	0.209	-11	-259	0
187	0.211	-11	-259	0
188	0.212	-11	-259	0
189	0.213	-11	-259	0
190	0.214	-11	-259	0
191	0.215	-11	-259	0
192	0.216	-11	-259	0
193	0.217	-11	-259	0
194	0.218	-11	-259	0
195	0.22	-11	-259	0
196	0.221	-12	-259	0
197	0.222	-12	-259	0
198	0.223	-12	-259	0
199	0.224	-12	-259	0
200	0.225	-12	-259	0
201	0.226	-12	-259	0
202	0.227	-12	-259	0
203	0.229	-12	-259	0
204	0.23	-12	-259	0
205	0.231	-12	-259	0
206	0.232	-12	-259	0
207	0.233	-12	-259	0
208	0.234	-12	-259	0
209	0.235	-12	-259	0
210	0.236	-12	-259	0
211	0.238	-12	-259	0
212	0.239	-12	-259	0
213	0.24	-12	-259	0
214	0.241	-12	-259	0
215	0.242	-12	-259	0
216	0.243	-12	-259	0
217	0.244	-12	-259	0
218	0.245	-12	-259	0
219	0.247	-12	-259	0
220	0.248	-12	-259	0
221	0.249	-12	-259	0
222	0.25	-12	-259	0
