Sample	Time	Encoder 1 Pos	Encoder 2 Pos	Control Effort
1	0.001	4	-1	0
2	0.002	4	-1	0
3	0.003	4	-1	0
4	0.004	4	-1	0
5	0.005	4	-1	0
6	0.006	4	-1	0
7	0.007	4	-1	0
8	0.009	4	-1	0
9	0.01	4	-1	0
10	0.011	4	-1	0
11	0.012	4	-1	0
12	0.013	4	-1	0
13	0.014	4	-1	0
14	0.015	4	-1	0
15	0.016	4	-1	0
16	0.018	4	-1	0
17	0.019	4	-1	0
18	0.02	4	-1	0
19	0.021	4	-1	0
20	0.022	4	-1	0
21	0.023	4	-1	0
22	0.024	4	-1	0
23	0.025	4	-1	0
24	0.027	4	-1	0
25	0.028	4	-1	0
26	0.029	4	-1	0
27	0.03	4	-1	0
28	0.031	4	-1	0
29	0.032	4	-1	0
30	0.033	4	-1	0
31	0.034	4	-1	0
32	0.036	4	-1	0
33	0.037	4	-1	0
34	0.038	4	-1	0
35	0.039	4	-1	0
36	0.04	4	-1	0
37	0.041	4	-1	0
38	0.042	4	-1	0
39	0.044	4	-1	0
40	0.045	4	-1	0
41	0.046	4	-1	0
42	0.047	4	-1	0
43	0.048	4	-1	0
44	0.049	4	-1	0
45	0.05	4	-1	0
46	0.051	4	-1	0
47	0.053	4	-1	0
48	0.054	4	-1	0
49	0.055	4	-1	0
50	0.056	4	-1	0
51	0.057	4	-1	0
52	0.058	4	-1	0
53	0.059	4	-1	0
54	0.06	4	-1	0
55	0.062	4	-1	0
56	0.063	4	-1	0
57	0.064	4	-1	0
58	0.065	4	-1	0
59	0.066	4	-1	0
60	0.067	4	-1	0
61	0.068	4	-1	0
62	0.069	4	-1	0
63	0.071	4	-1	0
64	0.072	4	-1	0
65	0.073	4	-1	0
66	0.074	4	-1	0
67	0.075	4	-1	0
68	0.076	4	-1	0
69	0.077	4	-1	0
70	0.078	4	-1	0
71	0.08	4	-1	0
72	0.081	4	-1	0
73	0.082	4	-1	0
74	0.083	4	-1	0
75	0.084	4	-1	0
76	0.085	4	-1	0
77	0.086	4	-1	0
78	0.088	4	-1	0
79	0.089	4	-1	0
80	0.09	4	-1	0
81	0.091	4	-1	0
82	0.092	4	-1	0
83	0.093	4	-1	0
84	0.094	4	-1	0
85	0.095	4	-1	0
86	0.097	4	-1	0
87	0.098	4	-1	0
88	0.099	4	-1	0
89	0.1	4	-1	0
90	0.101	4	-1	0
91	0.102	4	-1	0
92	0.103	4	-1	0
93	0.104	4	-1	0
94	0.106	4	-1	0
95	0.107	4	-1	0
96	0.108	4	-1	0
97	0.109	4	-1	0
98	0.11	4	-1	0
99	0.111	4	-1	0
100	0.112	4	-1	0
101	0.113	4	-1	0
102	0.115	4	-1	0
103	0.116	4	-1	0
104	0.117	4	-1	0
105	0.118	4	-1	0
106	0.119	4	-1	0
107	0.12	4	-1	0
108	0.121	4	-1	0
109	0.122	4	-1	0
110	0.124	4	-1	0
111	0.125	4	-1	0
112	0.126	4	-1	0
113	0.127	4	-1	0
114	0.128	4	-1	0
115	0.129	4	-1	0
116	0.13	4	-1	0
117	0.132	4	-1	0
118	0.133	4	-1	0
119	0.134	4	-1	0
120	0.135	4	-1	0
121	0.136	4	-1	0
122	0.137	4	-1	0
123	0.138	4	-1	0
124	0.139	4	-1	0
125	0.141	4	-1	0
126	0.142	4	-1	0
127	0.143	4	-1	0
128	0.144	4	-1	0
129	0.145	4	-1	0
130	0.146	4	-1	0
131	0.147	4	-1	0
132	0.148	4	-1	0
133	0.15	4	-1	0
134	0.151	4	-1	0
135	0.152	4	-1	0
136	0.153	4	-1	0
137	0.154	4	-1	0
138	0.155	4	-1	0
139	0.156	4	-1	0
140	0.157	4	-1	0
141	0.159	4	-1	0
142	0.16	4	-1	0
143	0.161	4	-1	0
144	0.162	4	-1	0
145	0.163	4	-1	0
146	0.164	4	-1	0
147	0.165	4	-1	0
148	0.166	4	-1	0
149	0.168	4	-1	0
150	0.169	4	-1	0
151	0.17	4	-1	0
152	0.171	4	-1	0
153	0.172	4	-1	0
154	0.173	4	-1	0
155	0.174	4	-1	0
156	0.176	4	-1	0
157	0.177	4	-1	0
158	0.178	4	-1	0
159	0.179	4	-1	0
160	0.18	4	-1	0
161	0.181	4	-1	0
162	0.182	4	-1	0
163	0.183	4	-1	0
164	0.185	4	-1	0
165	0.186	4	-1	0
166	0.187	4	-1	0
167	0.188	4	-1	0
168	0.189	4	-1	0
169	0.19	4	-1	0
170	0.191	4	-1	0
171	0.192	4	-1	0
172	0.194	4	-1	0
173	0.195	4	-1	0
174	0.196	4	-1	0
175	0.197	4	-1	0
176	0.198	4	-1	0
177	0.199	4	-1	0
178	0.2	4	-1	0
179	0.201	4	-1	0
180	0.203	4	-1	0
181	0.204	4	-1	0
182	0.205	4	-1	0
183	0.206	4	-1	0
184	0.207	4	-1	0
185	0.208	4	-1	0
186	0.209	4	-1	0
187	0.211	4	-1	0
188	0.212	4	-1	0
189	0.213	4	-1	0
190	0.214	4	-1	0
191	0.215	4	-1	0
192	0.216	4	-1	0
193	0.217	4	-1	0
194	0.218	4	-1	0
195	0.22	4	-1	0
196	0.221	4	-1	0
197	0.222	4	-1	0
198	0.223	4	-1	0
199	0.224	4	-1	0
200	0.225	4	-1	0
201	0.226	4	-1	0
202	0.227	4	-1	0
203	0.229	4	-1	0
204	0.23	4	-1	0
205	0.231	4	-1	0
206	0.232	4	-1	0
207	0.233	4	-1	0
208	0.234	4	-1	0
209	0.235	4	-1	0
210	0.236	4	-1	0
211	0.238	4	-1	0
212	0.239	4	-1	0
213	0.24	4	-1	0
214	0.241	4	-1	0
