Sample	Time	Encoder 1 Pos	Encoder 2 Pos	Control Effort
1	0.001	11	0	0
2	0.002	11	0	0
3	0.003	12	0	0
4	0.004	12	0	0
5	0.005	13	0	0
6	0.006	13	0	0
7	0.007	14	0	0
8	0.009	14	0	0
9	0.01	15	0	0
10	0.011	15	0	0
11	0.012	16	0	0
12	0.013	16	0	0
13	0.014	17	0	0
14	0.015	18	0	0
15	0.016	18	0	0
16	0.018	18	0	0
17	0.019	19	0	0
18	0.02	19	0	0
19	0.021	20	1	0
20	0.022	21	1	0
21	0.023	21	1	0
22	0.024	22	1	0
23	0.025	22	1	0
24	0.027	23	1	0
25	0.028	23	1	0
26	0.029	24	1	0
27	0.03	24	1	0
28	0.031	25	1	0
29	0.032	26	1	0
30	0.033	26	1	0
31	0.034	27	1	0
32	0.036	27	1	0
33	0.037	28	1	0
34	0.038	29	1	0
35	0.039	29	1	0
36	0.04	30	1	0
37	0.041	30	1	0
38	0.042	31	1	0
39	0.044	32	1	0
40	0.045	32	1	0
41	0.046	33	1	0
42	0.047	34	1	0
43	0.048	34	1	0
44	0.049	35	2	0
45	0.05	36	2	0
46	0.051	37	2	0
47	0.053	38	2	0
48	0.054	38	2	0
49	0.055	39	2	0
50	0.056	40	2	0
51	0.057	41	2	0
52	0.058	41	2	0
53	0.059	42	2	0
54	0.06	43	2	0
55	0.062	44	2	0
56	0.063	44	2	0
57	0.064	45	2	0
58	0.065	46	2	0
59	0.066	46	2	0
60	0.067	47	2	0
61	0.068	48	2	0
62	0.069	49	2	0
63	0.071	50	2	0
64	0.072	50	3	0
65	0.073	51	3	0
66	0.074	52	3	0
67	0.075	52	3	0
68	0.076	53	3	0
69	0.077	54	3	0
70	0.078	55	3	0
71	0.08	55	3	0
72	0.081	56	3	0
73	0.082	57	3	0
74	0.083	58	4	0
75	0.084	59	4	0
76	0.085	60	4	0
77	0.086	61	4	0
78	0.088	62	4	0
79	0.089	64	4	0
80	0.09	65	5	0
81	0.091	66	5	0
82	0.092	67	5	0
83	0.093	68	5	0
84	0.094	69	5	0
85	0.095	70	5	0
86	0.097	71	6	0
87	0.098	71	6	0
88	0.099	72	6	0
89	0.1	73	6	0
90	0.101	74	6	0
91	0.102	75	7	0
92	0.103	75	7	0
93	0.104	76	7	0
94	0.106	77	7	0
95	0.107	77	8	0
96	0.108	77	8	0
97	0.109	78	8	0
98	0.11	78	9	0
99	0.111	78	9	0
100	0.112	78	9	0
101	0.113	79	9	0
102	0.115	79	10	0
103	0.116	79	10	0
104	0.117	79	10	0
105	0.118	79	11	0
106	0.119	79	11	0
107	0.12	79	11	0
108	0.121	79	12	0
109	0.122	79	12	0
110	0.124	80	12	0
111	0.125	80	13	0
112	0.126	80	13	0
113	0.127	80	14	0
114	0.128	80	14	0
115	0.129	80	14	0
116	0.13	80	15	0
117	0.132	80	15	0
118	0.133	80	16	0
119	0.134	80	16	0
120	0.135	80	16	0
121	0.136	81	17	0
122	0.137	81	17	0
123	0.138	81	18	0
124	0.139	81	18	0
125	0.141	81	19	0
126	0.142	81	19	0
127	0.143	81	19	0
128	0.144	81	20	0
129	0.145	81	20	0
130	0.146	81	21	0
131	0.147	81	21	0
132	0.148	81	22	0
133	0.15	81	22	0
134	0.151	81	23	0
135	0.152	81	23	0
136	0.153	81	24	0
137	0.154	81	24	0
138	0.155	81	25	0
139	0.156	81	26	0
140	0.157	81	26	0
141	0.159	81	27	0
142	0.16	81	27	0
143	0.161	81	28	0
144	0.162	81	28	0
145	0.163	81	29	0
146	0.164	81	31	0
147	0.165	81	31	0
